,Genus,species,average_abundance,cumalative_abundance
21,Bacteroides,Bacteroides sp 3 1 40ABacteroides cellulosilyticusBacteroides xylanisolvensBacteroides uniformisBacteroides plebeiusBacteroides eggerthiiBacteroides fragilisBacteroides salyersiaeBacteroides caccaeBacteroides coprophilusBacteroides barnesiaeBacteroides sp 2 1 16Bacteroides sp 3 2 5Bacteroides clarusBacteroides oleiciplenusBacteroides massiliensisBacteroides intestinalisBacteroides sp 2 1 22Bacteroides sp 1 1 30Bacteroides sp 4 3 47FAABacteroides sp 9 1 42FAABacteroides stercorisBacteroides sp 1 1 6Bacteroides ovatusBacteroides sp 3 1 19Bacteroides nordiiBacteroides sp 2 2 4Bacteroides finegoldiiBacteroides faecisBacteroides doreiBacteroides fluxusBacteroides thetaiotaomicronBacteroides vulgatusBacteroides pectinophilusBacteroides salanitronisBacteroides coprocolaBacteroides sp 3 1 33FAA,0.2821950896081838,0.2821950896081838
136,Prevotella,Prevotella salivaePrevotella multiformisPrevotella histicolaPrevotella buccaePrevotella biviaPrevotella intermediaPrevotella disiensPrevotella pallensPrevotella melaninogenicaPrevotella amniiPrevotella multisaccharivoraxPrevotella veroralisPrevotella timonensisPrevotella oulorumPrevotella denticolaPrevotella copriPrevotella buccalisPrevotella orisPrevotella dentalisPrevotella nanceiensisPrevotella sp oral taxon 473Prevotella pleuritidisPrevotella baroniaePrevotella stercoreaPrevotella nigrescensPrevotella oralis,0.08570312291372874,0.3678982125219125
150,Ruminococcus,Ruminococcus bromiiRuminococcus champanellensisRuminococcus obeumRuminococcus gnavusRuminococcus flavefaciensRuminococcus callidusRuminococcus torquesRuminococcus sp 5 1 39BFAARuminococcus sp JC304Ruminococcus lactarisRuminococcus albus,0.06985759097555948,0.437755803497472
78,Eubacterium,Eubacterium halliiEubacterium siraeumEubacterium brachyEubacterium rectaleEubacterium ventriosumEubacterium infirmumEubacterium sp 3 1 31Eubacterium ramulusEubacterium saphenumEubacterium dolichumEubacterium limosumEubacterium cylindroidesEubacterium biformeEubacterium eligens,0.06714629731941998,0.504902100816892
80,Faecalibacterium,Faecalibacterium prausnitzii,0.04624511906831718,0.5511472198852092
162,Subdoligranulum,Subdoligranulum unclassifiedSubdoligranulum sp 4 3 54A2FAASubdoligranulum variabile,0.04504326951839229,0.5961904894036015
124,Parabacteroides,Parabacteroides unclassifiedParabacteroides sp 20 3Parabacteroides merdaeParabacteroides sp D13Parabacteroides goldsteiniiParabacteroides johnsoniiParabacteroides distasonis,0.04440929755131083,0.6405997869549124
9,Alistipes,Alistipes putredinisAlistipes unclassifiedAlistipes indistinctusAlistipes onderdonkiiAlistipes sp AP11Alistipes senegalensisAlistipes finegoldiiAlistipes shahii,0.035276775531817725,0.6758765624867301
24,Bifidobacterium,Bifidobacterium pseudolongumBifidobacterium pseudocatenulatumBifidobacterium animalisBifidobacterium catenulatumBifidobacterium dentiumBifidobacterium bifidumBifidobacterium longumBifidobacterium breveBifidobacterium adolescentisBifidobacterium angulatum,0.03309861533639201,0.7089751778231221
147,Roseburia,Roseburia hominisRoseburia intestinalisRoseburia unclassifiedRoseburia inulinivorans,0.03020328840011535,0.7391784662232375
106,Megamonas,Megamonas unclassifiedMegamonas hypermegaleMegamonas funiformisMegamonas rupellensis,0.027598302843611526,0.766776769066849
77,Escherichia,Escherichia unclassifiedEscherichia coliEscherichia hermannii,0.025876279604790598,0.7926530486716395
51,Clostridium,Clostridium bifermentansClostridium sordelliiClostridium clostridioformeClostridium difficileClostridium innocuumClostridium ramosumClostridium perfringensClostridium butyricumClostridium sp SY8519Clostridium sp D5Clostridium asparagiformeClostridium hathewayiClostridium celatumClostridium nexileClostridium bartlettiiClostridium citroniaeClostridium bolteaeClostridium sp KLE 1755Clostridium glycolicumClostridium hiranonisClostridium sp ATCC BAA 442Clostridium spiroformeClostridium methylpentosumClostridium sp L2 50Clostridium scindensClostridium hylemonaeClostridium leptumClostridium symbiosum,0.018333982611723625,0.8109870312833631
161,Streptococcus,Streptococcus gordoniiStreptococcus australisStreptococcus parasanguinisStreptococcus tigurinusStreptococcus sp BS35bStreptococcus sp GMD5SStreptococcus gallolyticusStreptococcus infantisStreptococcus lutetiensisStreptococcus infantariusStreptococcus salivariusStreptococcus constellatusStreptococcus cristatusStreptococcus dysgalactiaeStreptococcus macedonicusStreptococcus perorisStreptococcus downeiStreptococcus mitis oralis pneumoniaeStreptococcus mutansStreptococcus thermophilusStreptococcus pseudopneumoniaeStreptococcus agalactiaeStreptococcus vestibularisStreptococcus anginosusStreptococcus intermediusStreptococcus sobrinusStreptococcus pasteurianusStreptococcus oligofermentansStreptococcus sanguinis,0.01829610319216366,0.8292831344755268
133,Phascolarctobacterium,Phascolarctobacterium succinatutens,0.013826865082439696,0.8431099995579665
173,Veillonella,Veillonella sp 6 1 27Veillonella rattiVeillonella parvulaVeillonella atypicaVeillonella unclassifiedVeillonella dispar,0.012642546256987634,0.8557525458149542
85,Fusobacterium,Fusobacterium periodonticumFusobacterium ulceransFusobacterium variumFusobacterium nucleatumFusobacterium necrophorumFusobacterium mortiferumFusobacterium gonidiaformans,0.009827498484845818,0.8655800442998
164,Sutterella,Sutterella wadsworthensisSutterella parvirubra,0.009799735552669234,0.8753797798524692
52,Collinsella,Collinsella tanakaeiCollinsella stercorisCollinsella aerofaciensCollinsella intestinalisCollinsella unclassified,0.009524503811291244,0.8849042836637604
