,metabolite_id,metabolite_name_x,cross_feeeding_health,produced_by_health,consumed_by_health,produced_count_health,consumed_count_health,MES_health,metabolite_name_y,cross_feeeding_CRC,produced_by_CRC,consumed_by_CRC,produced_count_CRC,consumed_count_CRC,MES_CRC,MES_diff
255,arab_L_medium,L-arabinose,True,"['Barnesiella', 'Subdoligranulum', 'Bifidobacterium', 'Bacteroides', 'Prevotella', 'Dorea', 'Eubacterium', 'Parabacteroides']","['Barnesiella', 'Subdoligranulum', 'Megamonas', 'Bifidobacterium', 'Bacteroides', 'Klebsiella', 'Prevotella', 'Escherichia', 'Dorea', 'Ruminococcus', 'Clostridium', 'Eubacterium', 'Roseburia']",8.0,13.0,9.904761904761905,L-arabinose,True,"['Dorea', 'Eubacterium', 'Odoribacter', 'Paraprevotella', 'Bacteroides', 'Subdoligranulum', 'Bifidobacterium', 'Prevotella', 'Parabacteroides', 'Barnesiella']","['Dorea', 'Eubacterium', 'Odoribacter', 'Escherichia', 'Paraprevotella', 'Clostridium', 'Bacteroides', 'Subdoligranulum', 'Megamonas', 'Ruminococcus', 'Roseburia', 'Bifidobacterium', 'Prevotella', 'Klebsiella', 'Barnesiella', 'Coprococcus']",10.0,16.0,12.307692307692308,-2.4029304029304033
366,trp_L_medium,L-tryptophan,True,"['Megamonas', 'Klebsiella', 'Haemophilus', 'Escherichia', 'Collinsella']","['Faecalibacterium', 'Barnesiella', 'Subdoligranulum', 'Megamonas', 'Bifidobacterium', 'Dialister', 'Klebsiella', 'Haemophilus', 'Escherichia', 'Collinsella', 'Dorea', 'Fusobacterium', 'Roseburia', 'Alistipes']",5.0,14.0,7.368421052631579,L-tryptophan,True,"['Odoribacter', 'Escherichia', 'Collinsella', 'Megamonas', 'Haemophilus', 'Klebsiella', 'Coprococcus']","['Dorea', 'Odoribacter', 'Escherichia', 'Collinsella', 'Fusobacterium', 'Subdoligranulum', 'Megamonas', 'Haemophilus', 'Alistipes', 'Roseburia', 'Faecalibacterium', 'Bifidobacterium', 'Klebsiella', 'Barnesiella', 'Coprococcus', 'Dialister']",7.0,16.0,9.73913043478261,-2.3707093821510306
6,asn_L_medium,L-asparagine,True,"['Faecalibacterium', 'Barnesiella', 'Subdoligranulum', 'Megamonas', 'Bifidobacterium', 'Sutterella', 'Bacteroides', 'Dialister', 'Veillonella', 'Klebsiella', 'Haemophilus', 'Prevotella', 'Escherichia', 'Collinsella', 'Dorea', 'Ruminococcus', 'Clostridium', 'Fusobacterium', 'Eubacterium', 'Parabacteroides', 'Streptococcus', 'Roseburia', 'Lachnospiraceae', 'Phascolarctobacterium', 'Akkermansia']","['Faecalibacterium', 'Barnesiella', 'Subdoligranulum', 'Megamonas', 'Bifidobacterium', 'Sutterella', 'Bacteroides', 'Dialister', 'Veillonella', 'Klebsiella', 'Haemophilus', 'Prevotella', 'Escherichia', 'Collinsella', 'Dorea', 'Ruminococcus', 'Clostridium', 'Fusobacterium', 'Eubacterium', 'Parabacteroides', 'Streptococcus', 'Roseburia', 'Lachnospiraceae', 'Alistipes', 'Phascolarctobacterium', 'Akkermansia']",25.0,26.0,25.49019607843137,L-asparagine,True,"['Dorea', 'Eubacterium', 'Odoribacter', 'Escherichia', 'Paraprevotella', 'Clostridium', 'Collinsella', 'Phascolarctobacterium', 'Lachnospiraceae', 'Bacteroides', 'Fusobacterium', 'Subdoligranulum', 'Megamonas', 'Sutterella', 'Haemophilus', 'Ruminococcus', 'Roseburia', 'Faecalibacterium', 'Bifidobacterium', 'Prevotella', 'Klebsiella', 'Parabacteroides', 'Barnesiella', 'Coprococcus', 'Veillonella', 'Dialister', 'Streptococcus']","['Dorea', 'Eubacterium', 'Odoribacter', 'Escherichia', 'Paraprevotella', 'Clostridium', 'Collinsella', 'Phascolarctobacterium', 'Lachnospiraceae', 'Bacteroides', 'Fusobacterium', 'Subdoligranulum', 'Megamonas', 'Sutterella', 'Haemophilus', 'Ruminococcus', 'Alistipes', 'Roseburia', 'Faecalibacterium', 'Bifidobacterium', 'Prevotella', 'Klebsiella', 'Parabacteroides', 'Barnesiella', 'Coprococcus', 'Veillonella', 'Dialister', 'Streptococcus']",27.0,28.0,27.490909090909092,-2.0007130124777213
9,thr_L_medium,L-threonine,True,"['Faecalibacterium', 'Barnesiella', 'Subdoligranulum', 'Megamonas', 'Bifidobacterium', 'Sutterella', 'Bacteroides', 'Dialister', 'Veillonella', 'Klebsiella', 'Haemophilus', 'Escherichia', 'Collinsella', 'Dorea', 'Ruminococcus', 'Clostridium', 'Fusobacterium', 'Eubacterium', 'Parabacteroides', 'Streptococcus', 'Roseburia', 'Lachnospiraceae', 'Alistipes', 'Phascolarctobacterium', 'Akkermansia']","['Faecalibacterium', 'Barnesiella', 'Subdoligranulum', 'Megamonas', 'Bifidobacterium', 'Sutterella', 'Bacteroides', 'Dialister', 'Veillonella', 'Klebsiella', 'Haemophilus', 'Escherichia', 'Collinsella', 'Dorea', 'Ruminococcus', 'Clostridium', 'Fusobacterium', 'Eubacterium', 'Parabacteroides', 'Streptococcus', 'Roseburia', 'Lachnospiraceae', 'Alistipes', 'Phascolarctobacterium', 'Akkermansia']",25.0,25.0,25.0,L-threonine,True,"['Dorea', 'Eubacterium', 'Odoribacter', 'Escherichia', 'Paraprevotella', 'Clostridium', 'Collinsella', 'Phascolarctobacterium', 'Lachnospiraceae', 'Bacteroides', 'Fusobacterium', 'Subdoligranulum', 'Megamonas', 'Sutterella', 'Haemophilus', 'Ruminococcus', 'Alistipes', 'Roseburia', 'Faecalibacterium', 'Bifidobacterium', 'Klebsiella', 'Parabacteroides', 'Barnesiella', 'Coprococcus', 'Veillonella', 'Dialister', 'Streptococcus']","['Dorea', 'Eubacterium', 'Odoribacter', 'Escherichia', 'Paraprevotella', 'Clostridium', 'Collinsella', 'Phascolarctobacterium', 'Lachnospiraceae', 'Bacteroides', 'Fusobacterium', 'Subdoligranulum', 'Megamonas', 'Sutterella', 'Haemophilus', 'Ruminococcus', 'Alistipes', 'Roseburia', 'Faecalibacterium', 'Bifidobacterium', 'Klebsiella', 'Parabacteroides', 'Barnesiella', 'Coprococcus', 'Veillonella', 'Dialister', 'Streptococcus']",27.0,27.0,27.0,-2.0
455,urea_medium,Urea,True,"['Megamonas', 'Klebsiella', 'Escherichia', 'Alistipes']","['Klebsiella', 'Streptococcus']",4.0,2.0,2.6666666666666665,Urea,True,"['Odoribacter', 'Escherichia', 'Megamonas', 'Alistipes', 'Klebsiella']","['Odoribacter', 'Paraprevotella', 'Klebsiella', 'Streptococcus']",5.0,4.0,4.444444444444445,-1.7777777777777781
20,succ_medium,Succinate,True,"['Faecalibacterium', 'Barnesiella', 'Subdoligranulum', 'Megamonas', 'Bifidobacterium', 'Sutterella', 'Bacteroides', 'Dialister', 'Veillonella', 'Klebsiella', 'Haemophilus', 'Prevotella', 'Escherichia', 'Dorea', 'Ruminococcus', 'Clostridium', 'Fusobacterium', 'Eubacterium', 'Parabacteroides', 'Streptococcus', 'Alistipes', 'Phascolarctobacterium', 'Acidaminococcus', 'Akkermansia']","['Faecalibacterium', 'Barnesiella', 'Megamonas', 'Sutterella', 'Bacteroides', 'Dialister', 'Veillonella', 'Klebsiella', 'Haemophilus', 'Prevotella', 'Escherichia', 'Fusobacterium', 'Parabacteroides', 'Alistipes', 'Phascolarctobacterium', 'Akkermansia']",24.0,16.0,19.2,Succinate,True,"['Dorea', 'Eubacterium', 'Odoribacter', 'Escherichia', 'Paraprevotella', 'Clostridium', 'Phascolarctobacterium', 'Bacteroides', 'Fusobacterium', 'Subdoligranulum', 'Megamonas', 'Sutterella', 'Haemophilus', 'Ruminococcus', 'Alistipes', 'Faecalibacterium', 'Bifidobacterium', 'Prevotella', 'Klebsiella', 'Parabacteroides', 'Barnesiella', 'Coprococcus', 'Veillonella', 'Dialister', 'Streptococcus']","['Eubacterium', 'Odoribacter', 'Escherichia', 'Paraprevotella', 'Phascolarctobacterium', 'Bacteroides', 'Fusobacterium', 'Megamonas', 'Sutterella', 'Haemophilus', 'Alistipes', 'Faecalibacterium', 'Prevotella', 'Klebsiella', 'Parabacteroides', 'Barnesiella', 'Veillonella', 'Dialister']",25.0,18.0,20.930232558139537,-1.7302325581395372
422,but_medium,butyrate,True,"['Faecalibacterium', 'Subdoligranulum', 'Fusobacterium', 'Eubacterium', 'Roseburia', 'Acidaminococcus']","['Subdoligranulum', 'Escherichia', 'Ruminococcus', 'Fusobacterium']",6.0,4.0,4.8,butyrate,True,"['Eubacterium', 'Odoribacter', 'Fusobacterium', 'Subdoligranulum', 'Roseburia', 'Faecalibacterium', 'Coprococcus']","['Odoribacter', 'Escherichia', 'Fusobacterium', 'Subdoligranulum', 'Ruminococcus', 'Coprococcus']",7.0,6.0,6.461538461538462,-1.6615384615384619
178,glyc_medium,Glycerol,True,"['Faecalibacterium', 'Barnesiella', 'Bifidobacterium', 'Klebsiella', 'Haemophilus', 'Escherichia', 'Collinsella', 'Dorea', 'Clostridium', 'Fusobacterium', 'Parabacteroides', 'Streptococcus', 'Alistipes', 'Acidaminococcus', 'Akkermansia']","['Faecalibacterium', 'Bifidobacterium', 'Klebsiella', 'Haemophilus', 'Escherichia', 'Collinsella', 'Dorea', 'Clostridium', 'Fusobacterium', 'Parabacteroides', 'Streptococcus', 'Acidaminococcus']",15.0,12.0,13.333333333333334,Glycerol,True,"['Dorea', 'Odoribacter', 'Escherichia', 'Paraprevotella', 'Clostridium', 'Collinsella', 'Fusobacterium', 'Haemophilus', 'Alistipes', 'Faecalibacterium', 'Bifidobacterium', 'Klebsiella', 'Parabacteroides', 'Barnesiella', 'Coprococcus', 'Streptococcus']","['Dorea', 'Odoribacter', 'Escherichia', 'Paraprevotella', 'Clostridium', 'Collinsella', 'Fusobacterium', 'Haemophilus', 'Faecalibacterium', 'Bifidobacterium', 'Klebsiella', 'Parabacteroides', 'Coprococcus', 'Streptococcus']",16.0,14.0,14.933333333333334,-1.5999999999999996
413,o2_medium,O2,True,"['Bifidobacterium', 'Parabacteroides', 'Alistipes']","['Faecalibacterium', 'Barnesiella', 'Megamonas', 'Bifidobacterium', 'Sutterella', 'Bacteroides', 'Dialister', 'Veillonella', 'Klebsiella', 'Haemophilus', 'Prevotella', 'Escherichia', 'Collinsella', 'Dorea', 'Ruminococcus', 'Clostridium', 'Fusobacterium', 'Eubacterium', 'Parabacteroides', 'Streptococcus', 'Roseburia', 'Lachnospiraceae', 'Alistipes', 'Phascolarctobacterium', 'Acidaminococcus', 'Akkermansia']",3.0,26.0,5.379310344827586,O2,True,"['Odoribacter', 'Alistipes', 'Bifidobacterium', 'Parabacteroides']","['Dorea', 'Eubacterium', 'Odoribacter', 'Escherichia', 'Paraprevotella', 'Clostridium', 'Collinsella', 'Phascolarctobacterium', 'Lachnospiraceae', 'Bacteroides', 'Fusobacterium', 'Megamonas', 'Sutterella', 'Haemophilus', 'Ruminococcus', 'Alistipes', 'Roseburia', 'Faecalibacterium', 'Bifidobacterium', 'Prevotella', 'Klebsiella', 'Parabacteroides', 'Barnesiella', 'Coprococcus', 'Veillonella', 'Dialister', 'Streptococcus']",4.0,27.0,6.967741935483871,-1.5884315906562847
199,adn_medium,Adenosine,True,"['Barnesiella', 'Megamonas', 'Bacteroides', 'Veillonella', 'Klebsiella', 'Haemophilus', 'Prevotella', 'Escherichia', 'Dorea', 'Clostridium', 'Fusobacterium', 'Parabacteroides', 'Alistipes', 'Akkermansia']","['Barnesiella', 'Megamonas', 'Bacteroides', 'Klebsiella', 'Haemophilus', 'Prevotella', 'Escherichia', 'Dorea', 'Clostridium', 'Fusobacterium', 'Parabacteroides', 'Alistipes']",14.0,12.0,12.923076923076923,Adenosine,True,"['Dorea', 'Odoribacter', 'Escherichia', 'Paraprevotella', 'Clostridium', 'Bacteroides', 'Fusobacterium', 'Megamonas', 'Haemophilus', 'Alistipes', 'Prevotella', 'Klebsiella', 'Parabacteroides', 'Barnesiella', 'Veillonella']","['Dorea', 'Odoribacter', 'Escherichia', 'Paraprevotella', 'Clostridium', 'Bacteroides', 'Fusobacterium', 'Megamonas', 'Haemophilus', 'Alistipes', 'Prevotella', 'Klebsiella', 'Parabacteroides', 'Barnesiella']",15.0,14.0,14.482758620689655,-1.5596816976127315
