,metabolite_id,metabolite_name,cross_feeding,produced_by,consumed_by
0,_26dap_M_medium,"meso-2,6-Diaminoheptanedioate",True,"['Bacteroides', 'Barnesiella']","['Dorea', 'Paraprevotella', 'Clostridium', 'Collinsella', 'Phascolarctobacterium', 'Lachnospiraceae', 'Bacteroides', 'Subdoligranulum', 'Megamonas', 'Ruminococcus', 'Alistipes', 'Roseburia', 'Barnesiella', 'Coprococcus', 'Dialister']"
1,_2ddglcn_medium,2-Dehydro-3-deoxy-D-gluconate,True,"['Escherichia', 'Klebsiella']","['Escherichia', 'Clostridium', 'Collinsella', 'Fusobacterium', 'Klebsiella']"
2,_4hpro_LT_medium,trans-4-hydroxy-L-proline,False,[],"['Dorea', 'Odoribacter', 'Bacteroides', 'Parabacteroides', 'Coprococcus']"
3,C02528_medium,chenodeoxycholate,True,"['Dorea', 'Eubacterium', 'Escherichia', 'Paraprevotella', 'Clostridium', 'Collinsella', 'Bacteroides', 'Fusobacterium', 'Ruminococcus', 'Alistipes', 'Roseburia', 'Bifidobacterium', 'Parabacteroides', 'Barnesiella', 'Coprococcus']","['Escherichia', 'Collinsella', 'Ruminococcus']"
4,Cit_Mg_medium,Citrate-Mg,False,[],[]
5,MGlcn100_medium,mucin-type O-glycan No 100,True,"['Paraprevotella', 'Lachnospiraceae', 'Bacteroides', 'Ruminococcus', 'Roseburia', 'Parabacteroides', 'Barnesiella']","['Dorea', 'Escherichia', 'Paraprevotella', 'Clostridium', 'Lachnospiraceae', 'Bacteroides', 'Fusobacterium', 'Subdoligranulum', 'Megamonas', 'Ruminococcus', 'Roseburia', 'Faecalibacterium', 'Bifidobacterium', 'Prevotella', 'Parabacteroides', 'Barnesiella', 'Coprococcus']"
6,MGlcn100_rl_medium,released mucin-type O-glycan No 100,True,"['Paraprevotella', 'Lachnospiraceae', 'Bacteroides', 'Ruminococcus', 'Roseburia', 'Bifidobacterium', 'Parabacteroides', 'Barnesiella']","['Dorea', 'Escherichia', 'Paraprevotella', 'Clostridium', 'Lachnospiraceae', 'Bacteroides', 'Fusobacterium', 'Subdoligranulum', 'Megamonas', 'Ruminococcus', 'Roseburia', 'Faecalibacterium', 'Bifidobacterium', 'Prevotella', 'Parabacteroides', 'Barnesiella', 'Coprococcus']"
7,MGlcn101_medium,mucin-type O-glycan No 101,True,"['Paraprevotella', 'Lachnospiraceae', 'Bacteroides', 'Ruminococcus', 'Roseburia', 'Parabacteroides', 'Barnesiella']","['Dorea', 'Escherichia', 'Paraprevotella', 'Clostridium', 'Lachnospiraceae', 'Bacteroides', 'Fusobacterium', 'Subdoligranulum', 'Megamonas', 'Ruminococcus', 'Roseburia', 'Faecalibacterium', 'Bifidobacterium', 'Prevotella', 'Parabacteroides', 'Barnesiella', 'Coprococcus']"
8,MGlcn101_rl_medium,released mucin-type O-glycan No 101,True,"['Paraprevotella', 'Lachnospiraceae', 'Bacteroides', 'Ruminococcus', 'Roseburia', 'Bifidobacterium', 'Parabacteroides', 'Barnesiella']","['Dorea', 'Escherichia', 'Paraprevotella', 'Clostridium', 'Lachnospiraceae', 'Bacteroides', 'Fusobacterium', 'Subdoligranulum', 'Megamonas', 'Ruminococcus', 'Roseburia', 'Faecalibacterium', 'Bifidobacterium', 'Prevotella', 'Parabacteroides', 'Barnesiella', 'Coprococcus']"
9,MGlcn102_medium,mucin-type O-glycan No 102,True,"['Paraprevotella', 'Lachnospiraceae', 'Bacteroides', 'Ruminococcus', 'Roseburia', 'Parabacteroides', 'Barnesiella']","['Dorea', 'Escherichia', 'Paraprevotella', 'Clostridium', 'Lachnospiraceae', 'Bacteroides', 'Fusobacterium', 'Subdoligranulum', 'Megamonas', 'Ruminococcus', 'Roseburia', 'Faecalibacterium', 'Bifidobacterium', 'Prevotella', 'Parabacteroides', 'Barnesiella', 'Coprococcus']"
10,MGlcn102_rl_medium,released mucin-type O-glycan No 102,True,"['Paraprevotella', 'Lachnospiraceae', 'Bacteroides', 'Ruminococcus', 'Roseburia', 'Bifidobacterium', 'Parabacteroides', 'Barnesiella']","['Dorea', 'Escherichia', 'Paraprevotella', 'Clostridium', 'Lachnospiraceae', 'Bacteroides', 'Fusobacterium', 'Subdoligranulum', 'Megamonas', 'Ruminococcus', 'Roseburia', 'Faecalibacterium', 'Bifidobacterium', 'Prevotella', 'Parabacteroides', 'Barnesiella', 'Coprococcus']"
11,MGlcn104_medium,mucin-type O-glycan No 104,True,"['Paraprevotella', 'Lachnospiraceae', 'Bacteroides', 'Ruminococcus', 'Roseburia', 'Parabacteroides', 'Barnesiella']","['Dorea', 'Escherichia', 'Paraprevotella', 'Clostridium', 'Lachnospiraceae', 'Bacteroides', 'Fusobacterium', 'Subdoligranulum', 'Megamonas', 'Ruminococcus', 'Roseburia', 'Faecalibacterium', 'Bifidobacterium', 'Prevotella', 'Parabacteroides', 'Barnesiella', 'Coprococcus']"
12,MGlcn104_rl_medium,released mucin-type O-glycan No 104,True,"['Paraprevotella', 'Lachnospiraceae', 'Bacteroides', 'Ruminococcus', 'Roseburia', 'Bifidobacterium', 'Parabacteroides', 'Barnesiella']","['Dorea', 'Escherichia', 'Paraprevotella', 'Clostridium', 'Lachnospiraceae', 'Bacteroides', 'Fusobacterium', 'Subdoligranulum', 'Megamonas', 'Ruminococcus', 'Roseburia', 'Faecalibacterium', 'Bifidobacterium', 'Prevotella', 'Parabacteroides', 'Barnesiella', 'Coprococcus']"
13,MGlcn105_medium,mucin-type O-glycan No 105,True,"['Paraprevotella', 'Lachnospiraceae', 'Bacteroides', 'Ruminococcus', 'Roseburia', 'Parabacteroides', 'Barnesiella']","['Dorea', 'Escherichia', 'Paraprevotella', 'Clostridium', 'Lachnospiraceae', 'Bacteroides', 'Fusobacterium', 'Subdoligranulum', 'Megamonas', 'Ruminococcus', 'Roseburia', 'Faecalibacterium', 'Bifidobacterium', 'Prevotella', 'Parabacteroides', 'Barnesiella', 'Coprococcus']"
14,MGlcn105_rl_medium,released mucin-type O-glycan No 105,True,"['Paraprevotella', 'Lachnospiraceae', 'Bacteroides', 'Ruminococcus', 'Roseburia', 'Bifidobacterium', 'Parabacteroides', 'Barnesiella']","['Dorea', 'Escherichia', 'Paraprevotella', 'Clostridium', 'Lachnospiraceae', 'Bacteroides', 'Fusobacterium', 'Subdoligranulum', 'Megamonas', 'Ruminococcus', 'Roseburia', 'Faecalibacterium', 'Bifidobacterium', 'Prevotella', 'Parabacteroides', 'Barnesiella', 'Coprococcus']"
15,MGlcn106_medium,mucin-type O-glycan No 106,True,"['Paraprevotella', 'Lachnospiraceae', 'Bacteroides', 'Ruminococcus', 'Roseburia', 'Parabacteroides', 'Barnesiella']","['Dorea', 'Escherichia', 'Paraprevotella', 'Clostridium', 'Lachnospiraceae', 'Bacteroides', 'Fusobacterium', 'Subdoligranulum', 'Megamonas', 'Ruminococcus', 'Roseburia', 'Faecalibacterium', 'Bifidobacterium', 'Prevotella', 'Parabacteroides', 'Barnesiella', 'Coprococcus']"
16,MGlcn106_rl_medium,released mucin-type O-glycan No 106,True,"['Paraprevotella', 'Lachnospiraceae', 'Bacteroides', 'Ruminococcus', 'Roseburia', 'Bifidobacterium', 'Parabacteroides', 'Barnesiella']","['Dorea', 'Escherichia', 'Paraprevotella', 'Clostridium', 'Lachnospiraceae', 'Bacteroides', 'Fusobacterium', 'Subdoligranulum', 'Megamonas', 'Ruminococcus', 'Roseburia', 'Faecalibacterium', 'Bifidobacterium', 'Prevotella', 'Parabacteroides', 'Barnesiella', 'Coprococcus']"
17,MGlcn107_medium,mucin-type O-glycan No 107,True,"['Paraprevotella', 'Lachnospiraceae', 'Bacteroides', 'Ruminococcus', 'Roseburia', 'Parabacteroides', 'Barnesiella']","['Dorea', 'Escherichia', 'Paraprevotella', 'Clostridium', 'Lachnospiraceae', 'Bacteroides', 'Fusobacterium', 'Subdoligranulum', 'Megamonas', 'Ruminococcus', 'Roseburia', 'Faecalibacterium', 'Bifidobacterium', 'Prevotella', 'Parabacteroides', 'Barnesiella', 'Coprococcus']"
18,MGlcn107_rl_medium,released mucin-type O-glycan No 107,True,"['Paraprevotella', 'Lachnospiraceae', 'Bacteroides', 'Ruminococcus', 'Roseburia', 'Bifidobacterium', 'Parabacteroides', 'Barnesiella']","['Dorea', 'Escherichia', 'Paraprevotella', 'Clostridium', 'Lachnospiraceae', 'Bacteroides', 'Fusobacterium', 'Subdoligranulum', 'Megamonas', 'Ruminococcus', 'Roseburia', 'Faecalibacterium', 'Bifidobacterium', 'Prevotella', 'Parabacteroides', 'Barnesiella', 'Coprococcus']"
