,flux,reaction,metabolite
EX_Lcystin_medium,0.516018116082707,EX_Lcystin_medium,Lcystin_medium
EX_MGlcn174_rl_medium,0.017189484873137824,EX_MGlcn174_rl_medium,MGlcn174_rl_medium
EX_MGlcn178_medium,0.16688648946378493,EX_MGlcn178_medium,MGlcn178_medium
EX_MGlcn178_rl_medium,0.02998726976069178,EX_MGlcn178_rl_medium,MGlcn178_rl_medium
EX_MGlcn181_rl_medium,0.1396781119919333,EX_MGlcn181_rl_medium,MGlcn181_rl_medium
EX__12dgr180_medium,0.04710727092983593,EX__12dgr180_medium,_12dgr180_medium
EX__26dap_M_medium,0.3908056292802168,EX__26dap_M_medium,_26dap_M_medium
EX__2dmmq8_medium,0.005688694763011988,EX__2dmmq8_medium,_2dmmq8_medium
EX__2obut_medium,0.3380238386753501,EX__2obut_medium,_2obut_medium
EX__3mop_medium,0.18225328138750857,EX__3mop_medium,_3mop_medium
EX__4abz_medium,0.004788344720193496,EX__4abz_medium,_4abz_medium
EX__4hbz_medium,0.006384459626924714,EX__4hbz_medium,_4hbz_medium
EX_acgam_medium,0.6308732972952946,EX_acgam_medium,acgam_medium
EX_acnam_medium,0.0800248675239501,EX_acnam_medium,acnam_medium
EX_adn_medium,0.8887053884517403,EX_adn_medium,adn_medium
EX_akg_medium,9.58955351421439,EX_akg_medium,akg_medium
EX_alagln_medium,0.8609725697862238,EX_alagln_medium,alagln_medium
EX_alahis_medium,0.1377272166604651,EX_alahis_medium,alahis_medium
EX_alathr_medium,0.05506068084034658,EX_alathr_medium,alathr_medium
EX_amp_medium,2.499054093089623,EX_amp_medium,amp_medium
EX_arabinoxyl_medium,0.053935341009017666,EX_arabinoxyl_medium,arabinoxyl_medium
EX_arg_L_medium,9.056152732940287,EX_arg_L_medium,arg_L_medium
EX_asn_L_medium,8.490939718467033,EX_asn_L_medium,asn_L_medium
EX_asp_L_medium,4.4815418650270855,EX_asp_L_medium,asp_L_medium
EX_btn_medium,0.0035714285714285718,EX_btn_medium,btn_medium
EX_ca2_medium,0.11000491977613587,EX_ca2_medium,ca2_medium
EX_cgly_medium,0.275974581731194,EX_cgly_medium,cgly_medium
EX_chor_medium,0.25591291475833194,EX_chor_medium,chor_medium
EX_chtbs_medium,0.07345169771656604,EX_chtbs_medium,chtbs_medium
EX_cit_medium,0.04146280244132661,EX_cit_medium,cit_medium
EX_cl_medium,0.11000491977613586,EX_cl_medium,cl_medium
EX_cobalt2_medium,0.11000491977613587,EX_cobalt2_medium,cobalt2_medium
