,metabolite_id,metabolite_name,cross_feeding,produced_by,consumed_by
0,_26dap_M_medium,"meso-2,6-Diaminoheptanedioate",False,[],['Bacteroides_uniformis_ATCC_8492']
1,_4abut_medium,4-Aminobutanoate,False,"['Bacteroides_uniformis_ATCC_8492', 'Bifidobacterium_adolescentis_ATCC_15703']",[]
2,C02528_medium,chenodeoxycholate,False,"['Bacteroides_uniformis_ATCC_8492', 'Bifidobacterium_adolescentis_ATCC_15703']",[]
3,MGlcn100_medium,mucin-type O-glycan No 100,True,['Bacteroides_uniformis_ATCC_8492'],"['Bacteroides_uniformis_ATCC_8492', 'Faecalibacterium_prausnitzii_M21_2']"
4,MGlcn100_rl_medium,released mucin-type O-glycan No 100,True,['Bacteroides_uniformis_ATCC_8492'],"['Bacteroides_uniformis_ATCC_8492', 'Faecalibacterium_prausnitzii_M21_2']"
5,MGlcn101_medium,mucin-type O-glycan No 101,True,['Bacteroides_uniformis_ATCC_8492'],"['Bacteroides_uniformis_ATCC_8492', 'Faecalibacterium_prausnitzii_M21_2']"
6,MGlcn101_rl_medium,released mucin-type O-glycan No 101,True,['Bacteroides_uniformis_ATCC_8492'],"['Bacteroides_uniformis_ATCC_8492', 'Faecalibacterium_prausnitzii_M21_2']"
7,MGlcn102_medium,mucin-type O-glycan No 102,True,['Bacteroides_uniformis_ATCC_8492'],"['Bacteroides_uniformis_ATCC_8492', 'Faecalibacterium_prausnitzii_M21_2']"
8,MGlcn102_rl_medium,released mucin-type O-glycan No 102,True,['Bacteroides_uniformis_ATCC_8492'],"['Bacteroides_uniformis_ATCC_8492', 'Faecalibacterium_prausnitzii_M21_2']"
9,MGlcn103_medium,mucin-type O-glycan No 103,False,['Bacteroides_uniformis_ATCC_8492'],['Bacteroides_uniformis_ATCC_8492']
10,MGlcn103_rl_medium,released mucin-type O-glycan No 103,False,['Bacteroides_uniformis_ATCC_8492'],['Bacteroides_uniformis_ATCC_8492']
11,MGlcn104_medium,mucin-type O-glycan No 104,True,['Bacteroides_uniformis_ATCC_8492'],"['Bacteroides_uniformis_ATCC_8492', 'Faecalibacterium_prausnitzii_M21_2']"
12,MGlcn104_rl_medium,released mucin-type O-glycan No 104,True,['Bacteroides_uniformis_ATCC_8492'],"['Bacteroides_uniformis_ATCC_8492', 'Faecalibacterium_prausnitzii_M21_2']"
13,MGlcn105_medium,mucin-type O-glycan No 105,True,['Bacteroides_uniformis_ATCC_8492'],"['Bacteroides_uniformis_ATCC_8492', 'Faecalibacterium_prausnitzii_M21_2']"
14,MGlcn105_rl_medium,released mucin-type O-glycan No 105,True,['Bacteroides_uniformis_ATCC_8492'],"['Bacteroides_uniformis_ATCC_8492', 'Faecalibacterium_prausnitzii_M21_2']"
15,MGlcn106_medium,mucin-type O-glycan No 106,True,['Bacteroides_uniformis_ATCC_8492'],"['Bacteroides_uniformis_ATCC_8492', 'Faecalibacterium_prausnitzii_M21_2']"
16,MGlcn106_rl_medium,released mucin-type O-glycan No 106,True,['Bacteroides_uniformis_ATCC_8492'],"['Bacteroides_uniformis_ATCC_8492', 'Faecalibacterium_prausnitzii_M21_2']"
17,MGlcn107_medium,mucin-type O-glycan No 107,True,['Bacteroides_uniformis_ATCC_8492'],"['Bacteroides_uniformis_ATCC_8492', 'Faecalibacterium_prausnitzii_M21_2']"
