,flux,reaction,metabolite
EX_Lcystin_medium,2.5635666108003012,EX_Lcystin_medium,Lcystin_medium
EX__12dgr180_medium,0.14607115771834,EX__12dgr180_medium,_12dgr180_medium
EX__26dap_M_medium,0.58813435520058,EX__26dap_M_medium,_26dap_M_medium
EX__4abz_medium,0.18782570450480707,EX__4abz_medium,_4abz_medium
EX_acald_medium,333.3333333333332,EX_acald_medium,acald_medium
EX_alagln_medium,301.6678877539013,EX_alagln_medium,alagln_medium
EX_alathr_medium,3.7777441874889375,EX_alathr_medium,alathr_medium
EX_amp_medium,25.11493225723849,EX_amp_medium,amp_medium
EX_arg_L_medium,5.828571595629514,EX_arg_L_medium,arg_L_medium
EX_asn_L_medium,38.16495383164127,EX_asn_L_medium,asn_L_medium
EX_btn_medium,0.03333333333333333,EX_btn_medium,btn_medium
EX_ca2_medium,0.38104183183333523,EX_ca2_medium,ca2_medium
EX_cit_medium,0.31579870967432694,EX_cit_medium,cit_medium
EX_cl_medium,0.38104183183333523,EX_cl_medium,cl_medium
EX_cobalt2_medium,0.38104183183333523,EX_cobalt2_medium,cobalt2_medium
EX_cu2_medium,0.38104183183333523,EX_cu2_medium,cu2_medium
EX_ddca_medium,7.697224548999891,EX_ddca_medium,ddca_medium
EX_etoh_medium,15.815873684438884,EX_etoh_medium,etoh_medium
EX_fe2_medium,0.44365040000160383,EX_fe2_medium,fe2_medium
EX_fe3_medium,0.38104183183333523,EX_fe3_medium,fe3_medium
EX_fol_medium,0.48160172648371,EX_fol_medium,fol_medium
EX_fum_medium,141.6727669903836,EX_fum_medium,fum_medium
EX_glctnb_medium,192.74416332177765,EX_glctnb_medium,glctnb_medium
EX_gln_L_medium,42.25675902692688,EX_gln_L_medium,gln_L_medium
EX_glyleu_medium,337.43114651294354,EX_glyleu_medium,glyleu_medium
EX_glymet_medium,2.834440412477604,EX_glymet_medium,glymet_medium
EX_h2s_medium,0.16053390882790322,EX_h2s_medium,h2s_medium
EX_ile_L_medium,86.11680978392394,EX_ile_L_medium,ile_L_medium
EX_inulin_medium,5.0148087047495205,EX_inulin_medium,inulin_medium
EX_k_medium,0.3810418318333611,EX_k_medium,k_medium
EX_lac_D_medium,54.8708052735117,EX_lac_D_medium,lac_D_medium
EX_lichn_medium,0.03038244168007789,EX_lichn_medium,lichn_medium
EX_lys_L_medium,19.06038143922013,EX_lys_L_medium,lys_L_medium
EX_met_L_medium,3.1774257782988875,EX_met_L_medium,met_L_medium
EX_metala_medium,2.2948724324555108,EX_metala_medium,metala_medium
EX_mg2_medium,0.38104183183333523,EX_mg2_medium,mg2_medium
EX_mn2_medium,0.38104183183333523,EX_mn2_medium,mn2_medium
EX_mqn7_medium,0.1252171363365372,EX_mqn7_medium,mqn7_medium
EX_nac_medium,0.7620836636665085,EX_nac_medium,nac_medium
EX_no2_medium,97.59334065986256,EX_no2_medium,no2_medium
EX_o2_medium,206.1990164557265,EX_o2_medium,o2_medium
EX_orn_medium,9.02366081495918,EX_orn_medium,orn_medium
EX_phe_L_medium,37.527699096815816,EX_phe_L_medium,phe_L_medium
EX_pi_medium,39.87890407626752,EX_pi_medium,pi_medium
EX_pnto_R_medium,0.12521713633653692,EX_pnto_R_medium,pnto_R_medium
EX_pro_L_medium,6.983286702391931,EX_pro_L_medium,pro_L_medium
EX_ptrc_medium,0.1605339088279032,EX_ptrc_medium,ptrc_medium
EX_pullulan1200_medium,0.07345489718104586,EX_pullulan1200_medium,pullulan1200_medium
EX_pydx_medium,0.3810418318333353,EX_pydx_medium,pydx_medium
EX_ribflv_medium,331.2160516765254,EX_ribflv_medium,ribflv_medium
EX_ser_L_medium,31.720072488963,EX_ser_L_medium,ser_L_medium
EX_sheme_medium,0.0626085681682686,EX_sheme_medium,sheme_medium
EX_so4_medium,0.38104183183333534,EX_so4_medium,so4_medium
EX_spmd_medium,0.16053390882790322,EX_spmd_medium,spmd_medium
EX_strch1_medium,1.6412105754096085,EX_strch1_medium,strch1_medium
EX_thm_medium,0.22314247699617182,EX_thm_medium,thm_medium
EX_thr_L_medium,342.58803826534677,EX_thr_L_medium,thr_L_medium
EX_thymd_medium,0.23751424197405172,EX_thymd_medium,thymd_medium
EX_trp_L_medium,3.1714732633727665,EX_trp_L_medium,trp_L_medium
EX_ttdca_medium,0.5881343552005805,EX_ttdca_medium,ttdca_medium
EX_tyr_L_medium,4.685179207476568,EX_tyr_L_medium,tyr_L_medium
EX_ura_medium,16.609252533576342,EX_ura_medium,ura_medium
EX_val_L_medium,15.180898581196876,EX_val_L_medium,val_L_medium
EX_xan_medium,3.249630350488686,EX_xan_medium,xan_medium
EX_xyluglc_medium,0.06670357480202269,EX_xyluglc_medium,xyluglc_medium
EX_zn2_medium,0.38104183183333523,EX_zn2_medium,zn2_medium
