,flux,reaction,metabolite
EX_Lcystin_medium,0.32077753960273714,EX_Lcystin_medium,Lcystin_medium
EX_MGlcn174_medium,0.19523547371268687,EX_MGlcn174_medium,MGlcn174_medium
EX_MGlcn175_rl_medium,0.10735527574634726,EX_MGlcn175_rl_medium,MGlcn175_rl_medium
EX_MGlcn178_medium,0.2883724051224523,EX_MGlcn178_medium,MGlcn178_medium
EX__12dgr180_medium,0.0543397086475091,EX__12dgr180_medium,_12dgr180_medium
EX__26dap_M_medium,0.3462710516358224,EX__26dap_M_medium,_26dap_M_medium
EX__2dmmq8_medium,0.0033928176644939054,EX__2dmmq8_medium,_2dmmq8_medium
EX__2obut_medium,1.4651764396541371,EX__2obut_medium,_2obut_medium
EX__3mop_medium,0.3112885855226454,EX__3mop_medium,_3mop_medium
EX__4hbz_medium,0.0016938856153176393,EX__4hbz_medium,_4hbz_medium
EX_acgam_medium,0.5750197298586736,EX_acgam_medium,acgam_medium
EX_adn_medium,1.61904500953906,EX_adn_medium,adn_medium
EX_akg_medium,2.501308783104311,EX_akg_medium,akg_medium
EX_alagln_medium,0.41815208908821105,EX_alagln_medium,alagln_medium
EX_alahis_medium,0.11529060808326984,EX_alahis_medium,alahis_medium
EX_alathr_medium,0.06281886482649206,EX_alathr_medium,alathr_medium
EX_amp_medium,1.0841306444073135,EX_amp_medium,amp_medium
EX_arabinoxyl_medium,0.04275803060781539,EX_arabinoxyl_medium,arabinoxyl_medium
EX_arg_L_medium,3.7232047524523777,EX_arg_L_medium,arg_L_medium
EX_asn_L_medium,4.496279012921608,EX_asn_L_medium,asn_L_medium
EX_asp_L_medium,4.369873677808791,EX_asp_L_medium,asp_L_medium
EX_btn_medium,0.005936590091353768,EX_btn_medium,btn_medium
EX_ca2_medium,0.08626197513935055,EX_ca2_medium,ca2_medium
EX_cgly_medium,0.49414328178182554,EX_cgly_medium,cgly_medium
EX_chor_medium,1.4193193611945505,EX_chor_medium,chor_medium
EX_chtbs_medium,0.22942800195516141,EX_chtbs_medium,chtbs_medium
EX_cit_medium,1.9213165483508232,EX_cit_medium,cit_medium
EX_cl_medium,0.08626197513935055,EX_cl_medium,cl_medium
EX_cobalt2_medium,0.08626197513935056,EX_cobalt2_medium,cobalt2_medium
EX_cu2_medium,0.08626197513935055,EX_cu2_medium,cu2_medium
EX_cytd_medium,6.674134924907235,EX_cytd_medium,cytd_medium
EX_dad_2_medium,3.0515817127110068,EX_dad_2_medium,dad_2_medium
EX_dcyt_medium,3.4001124939056435,EX_dcyt_medium,dcyt_medium
EX_ddca_medium,1.1718925449265871,EX_ddca_medium,ddca_medium
EX_dextrin_medium,0.5790831785408663,EX_dextrin_medium,dextrin_medium
EX_dgsn_medium,0.3474339582197262,EX_dgsn_medium,dgsn_medium
EX_din_medium,0.07269165407991234,EX_din_medium,din_medium
EX_dpcoa_medium,0.007917672910258775,EX_dpcoa_medium,dpcoa_medium
