,flux,reaction,metabolite
EX_C02528_medium,1e-06,EX_C02528_medium,C02528_medium
EX_MGlcn108_rl_medium,1e-06,EX_MGlcn108_rl_medium,MGlcn108_rl_medium
EX_MGlcn10_rl_medium,1e-06,EX_MGlcn10_rl_medium,MGlcn10_rl_medium
EX_MGlcn116_medium,1e-06,EX_MGlcn116_medium,MGlcn116_medium
EX_MGlcn119_medium,1e-06,EX_MGlcn119_medium,MGlcn119_medium
EX_MGlcn119_rl_medium,1e-06,EX_MGlcn119_rl_medium,MGlcn119_rl_medium
EX_MGlcn12_medium,1e-06,EX_MGlcn12_medium,MGlcn12_medium
EX_MGlcn12_rl_medium,1e-06,EX_MGlcn12_rl_medium,MGlcn12_rl_medium
EX_MGlcn13_medium,1e-06,EX_MGlcn13_medium,MGlcn13_medium
EX_MGlcn14_rl_medium,1e-06,EX_MGlcn14_rl_medium,MGlcn14_rl_medium
EX_MGlcn15_medium,1e-06,EX_MGlcn15_medium,MGlcn15_medium
EX_MGlcn15_rl_medium,1e-06,EX_MGlcn15_rl_medium,MGlcn15_rl_medium
EX_MGlcn171_rl_medium,1e-06,EX_MGlcn171_rl_medium,MGlcn171_rl_medium
EX_MGlcn17_medium,1e-06,EX_MGlcn17_medium,MGlcn17_medium
EX_MGlcn17_rl_medium,1e-06,EX_MGlcn17_rl_medium,MGlcn17_rl_medium
EX_MGlcn185_medium,1e-06,EX_MGlcn185_medium,MGlcn185_medium
EX_MGlcn185_rl_medium,1e-06,EX_MGlcn185_rl_medium,MGlcn185_rl_medium
EX_MGlcn186_medium,1e-06,EX_MGlcn186_medium,MGlcn186_medium
EX_MGlcn190_medium,1e-06,EX_MGlcn190_medium,MGlcn190_medium
EX_MGlcn190_rl_medium,1e-06,EX_MGlcn190_rl_medium,MGlcn190_rl_medium
EX_MGlcn191_medium,1e-06,EX_MGlcn191_medium,MGlcn191_medium
EX_MGlcn191_rl_medium,1e-06,EX_MGlcn191_rl_medium,MGlcn191_rl_medium
EX_MGlcn193_medium,1e-06,EX_MGlcn193_medium,MGlcn193_medium
EX_MGlcn193_rl_medium,1e-06,EX_MGlcn193_rl_medium,MGlcn193_rl_medium
EX_MGlcn19_medium,1e-06,EX_MGlcn19_medium,MGlcn19_medium
EX_MGlcn19_rl_medium,1e-06,EX_MGlcn19_rl_medium,MGlcn19_rl_medium
EX_MGlcn20_medium,1e-06,EX_MGlcn20_medium,MGlcn20_medium
EX_MGlcn20_rl_medium,1e-06,EX_MGlcn20_rl_medium,MGlcn20_rl_medium
EX_MGlcn22_medium,1e-06,EX_MGlcn22_medium,MGlcn22_medium
EX_MGlcn24_medium,1e-06,EX_MGlcn24_medium,MGlcn24_medium
EX_MGlcn24_rl_medium,1e-06,EX_MGlcn24_rl_medium,MGlcn24_rl_medium
EX_MGlcn3_medium,1e-06,EX_MGlcn3_medium,MGlcn3_medium
EX_MGlcn4_medium,1e-06,EX_MGlcn4_medium,MGlcn4_medium
EX_MGlcn73_medium,1e-06,EX_MGlcn73_medium,MGlcn73_medium
EX_MGlcn73_rl_medium,1e-06,EX_MGlcn73_rl_medium,MGlcn73_rl_medium
EX_Ser_Thr_medium,1e-06,EX_Ser_Thr_medium,Ser_Thr_medium
EX_T_antigen_medium,1e-06,EX_T_antigen_medium,T_antigen_medium
EX_Tn_antigen_medium,1e-06,EX_Tn_antigen_medium,Tn_antigen_medium
EX_Tyr_ggn_medium,1e-06,EX_Tyr_ggn_medium,Tyr_ggn_medium
EX__2obut_medium,1e-06,EX__2obut_medium,_2obut_medium
EX__4hpro_LT_medium,1e-06,EX__4hpro_LT_medium,_4hpro_LT_medium
EX_acnam_medium,1e-06,EX_acnam_medium,acnam_medium
EX_adn_medium,1e-06,EX_adn_medium,adn_medium
EX_arab_L_medium,6e-07,EX_arab_L_medium,arab_L_medium
EX_arg_L_medium,2.451683270450523e-05,EX_arg_L_medium,arg_L_medium
EX_asn_L_medium,1.5342656220754565e-06,EX_asn_L_medium,asn_L_medium
EX_cholate_medium,1e-06,EX_cholate_medium,cholate_medium
EX_chor_medium,1e-06,EX_chor_medium,chor_medium
EX_cytd_medium,6.425229093214869e-07,EX_cytd_medium,cytd_medium
EX_dad_2_medium,1e-06,EX_dad_2_medium,dad_2_medium
EX_dcyt_medium,1e-06,EX_dcyt_medium,dcyt_medium
EX_etoh_medium,4.2915359604122885e-05,EX_etoh_medium,etoh_medium
EX_fuc_L_medium,1e-06,EX_fuc_L_medium,fuc_L_medium
EX_gal_medium,1.1100000000000014e-05,EX_gal_medium,gal_medium
EX_glu_L_medium,9.92205788830042e-06,EX_glu_L_medium,glu_L_medium
