,flux,reaction,metabolite
EX__12ppd_S_medium,1e-06,EX__12ppd_S_medium,_12ppd_S_medium
EX__26dap_M_medium,1.9107462766384125e-07,EX__26dap_M_medium,_26dap_M_medium
EX__2obut_medium,1e-06,EX__2obut_medium,_2obut_medium
EX__3dhcdchol_medium,1e-06,EX__3dhcdchol_medium,_3dhcdchol_medium
EX__3dhchol_medium,1e-06,EX__3dhchol_medium,_3dhchol_medium
EX__4hpro_LT_medium,1e-06,EX__4hpro_LT_medium,_4hpro_LT_medium
EX__7dhcdchol_medium,1e-06,EX__7dhcdchol_medium,_7dhcdchol_medium
EX__7ocholate_medium,1e-06,EX__7ocholate_medium,_7ocholate_medium
EX_acald_medium,1e-06,EX_acald_medium,acald_medium
EX_acnam_medium,1e-06,EX_acnam_medium,acnam_medium
EX_ade_medium,9.59469361462673e-07,EX_ade_medium,ade_medium
EX_adn_medium,1e-06,EX_adn_medium,adn_medium
EX_ala_L_medium,3.928259780792888e-07,EX_ala_L_medium,ala_L_medium
EX_alahis_medium,1.4537164672815584e-07,EX_alahis_medium,alahis_medium
EX_arg_L_medium,1.733723656226646e-05,EX_arg_L_medium,arg_L_medium
EX_asn_L_medium,1e-06,EX_asn_L_medium,asn_L_medium
EX_asp_L_medium,9.55288743401988e-06,EX_asp_L_medium,asp_L_medium
EX_cgly_medium,5.817267841386133e-07,EX_cgly_medium,cgly_medium
EX_chor_medium,1e-06,EX_chor_medium,chor_medium
EX_cys_L_medium,1.1557117770336023e-07,EX_cys_L_medium,cys_L_medium
EX_cytd_medium,1e-06,EX_cytd_medium,cytd_medium
EX_dcyt_medium,2.93191347890865e-07,EX_dcyt_medium,dcyt_medium
EX_ddca_medium,9.553731383192062e-07,EX_ddca_medium,ddca_medium
EX_etoh_medium,4.136985386367174e-05,EX_etoh_medium,etoh_medium
EX_fol_medium,1.1930205238609995e-07,EX_fol_medium,fol_medium
EX_fru_medium,2.207465042522971e-05,EX_fru_medium,fru_medium
EX_fuc_L_medium,1e-06,EX_fuc_L_medium,fuc_L_medium
EX_fum_medium,1e-06,EX_fum_medium,fum_medium
EX_gal_medium,9.553731383192e-07,EX_gal_medium,gal_medium
EX_galur_medium,1e-06,EX_galur_medium,galur_medium
EX_glc_D_medium,1.767600557262492e-05,EX_glc_D_medium,glc_D_medium
EX_glcur_medium,1e-06,EX_glcur_medium,glcur_medium
EX_glu_L_medium,6.27799820839445e-05,EX_glu_L_medium,glu_L_medium
EX_glyasn_medium,1e-06,EX_glyasn_medium,glyasn_medium
EX_glyc3p_medium,5.583486409175396e-07,EX_glyc3p_medium,glyc3p_medium
EX_glyclt_medium,1e-06,EX_glyclt_medium,glyclt_medium
EX_glyleu_medium,1e-06,EX_glyleu_medium,glyleu_medium
EX_gsn_medium,1e-06,EX_gsn_medium,gsn_medium
EX_h2o_medium,3.652418251017469e-05,EX_h2o_medium,h2o_medium
EX_h2s_medium,1e-06,EX_h2s_medium,h2s_medium
EX_his_L_medium,1.6628905556124176e-07,EX_his_L_medium,his_L_medium
EX_hxan_medium,5.402695097067049e-07,EX_hxan_medium,hxan_medium
EX_inulin_medium,1e-06,EX_inulin_medium,inulin_medium
EX_lctnb_medium,1.826142733458686e-07,EX_lctnb_medium,lctnb_medium
EX_leu_L_medium,3.912154753980618e-06,EX_leu_L_medium,leu_L_medium
EX_lys_L_medium,1.1865188324850578e-07,EX_lys_L_medium,lys_L_medium
EX_malthx_medium,1e-06,EX_malthx_medium,malthx_medium
EX_malttr_medium,1e-06,EX_malttr_medium,malttr_medium
EX_met_L_medium,7.696147061387035e-07,EX_met_L_medium,met_L_medium
EX_metala_medium,2.4664572579533864e-07,EX_metala_medium,metala_medium
EX_no2_medium,1e-06,EX_no2_medium,no2_medium
EX_o2_medium,1e-06,EX_o2_medium,o2_medium
EX_ocdca_medium,6.185957265517969e-07,EX_ocdca_medium,ocdca_medium
EX_orn_medium,4.083646239586239e-07,EX_orn_medium,orn_medium
EX_pect_medium,1.3842462467776187e-07,EX_pect_medium,pect_medium
EX_phe_L_medium,7.27482567275133e-07,EX_phe_L_medium,phe_L_medium
EX_pi_medium,9.513151111627248e-06,EX_pi_medium,pi_medium
EX_ser_L_medium,4.366231765822058e-06,EX_ser_L_medium,ser_L_medium
EX_sucr_medium,1.0544392839221144e-05,EX_sucr_medium,sucr_medium
EX_thr_L_medium,2.6044283588166066e-05,EX_thr_L_medium,thr_L_medium
EX_ttdca_medium,1.7585677155168553e-07,EX_ttdca_medium,ttdca_medium
EX_tyr_L_medium,4.360277587367043e-07,EX_tyr_L_medium,tyr_L_medium
EX_ura_medium,6.256916608577811e-07,EX_ura_medium,ura_medium
EX_uri_medium,8.930103914264149e-07,EX_uri_medium,uri_medium
EX_val_L_medium,1.9660238790995376e-07,EX_val_L_medium,val_L_medium
EX_xan_medium,3.466190046205914e-07,EX_xan_medium,xan_medium
EX_xyl_D_medium,1e-06,EX_xyl_D_medium,xyl_D_medium
