,flux,reaction,metabolite
EX_Lcystin_medium,2.6906449190083808,EX_Lcystin_medium,Lcystin_medium
EX_MGlcn181_rl_medium,1.1762687104011598,EX_MGlcn181_rl_medium,MGlcn181_rl_medium
EX__12dgr180_medium,0.21910673657750976,EX__12dgr180_medium,_12dgr180_medium
EX__26dap_M_medium,0.8822015328008698,EX__26dap_M_medium,_26dap_M_medium
EX_acald_medium,500.0,EX_acald_medium,acald_medium
EX_alagln_medium,15.886970171242638,EX_alagln_medium,alagln_medium
EX_alathr_medium,442.28147774081856,EX_alathr_medium,alathr_medium
EX_amp_medium,37.67239838586147,EX_amp_medium,amp_medium
EX_arg_L_medium,8.742857393444265,EX_arg_L_medium,arg_L_medium
EX_asn_L_medium,51.156515805479216,EX_asn_L_medium,asn_L_medium
EX_btn_medium,0.05,EX_btn_medium,btn_medium
EX_ca2_medium,0.4776498954975996,EX_ca2_medium,ca2_medium
EX_cit_medium,0.47369806451149016,EX_cit_medium,cit_medium
EX_cl_medium,0.4776498954975996,EX_cl_medium,cl_medium
EX_co2_medium,88.20637917238298,EX_co2_medium,co2_medium
EX_cobalt2_medium,0.4776498954975996,EX_cobalt2_medium,cobalt2_medium
EX_cu2_medium,0.4776498954975996,EX_cu2_medium,cu2_medium
EX_cytd_medium,8.193301158077386,EX_cytd_medium,cytd_medium
EX_ddca_medium,4.41100766400435,EX_ddca_medium,ddca_medium
EX_etoh_medium,23.723810526655463,EX_etoh_medium,etoh_medium
EX_fe2_medium,0.4776498954975996,EX_fe2_medium,fe2_medium
EX_fe3_medium,0.4776498954975996,EX_fe3_medium,fe3_medium
EX_fol_medium,0.7224025897255633,EX_fol_medium,fol_medium
EX_fum_medium,212.50915048562047,EX_fum_medium,fum_medium
EX_glctnb_medium,289.11624498271846,EX_glctnb_medium,glctnb_medium
EX_gln_L_medium,500.0,EX_gln_L_medium,gln_L_medium
EX_glyleu_medium,500.0,EX_glyleu_medium,glyleu_medium
EX_h2s_medium,0.24080086324185457,EX_h2s_medium,h2s_medium
EX_ile_L_medium,119.44603728630538,EX_ile_L_medium,ile_L_medium
EX_k_medium,0.47764989549763603,EX_k_medium,k_medium
EX_lac_D_medium,82.3062079102873,EX_lac_D_medium,lac_D_medium
EX_lys_L_medium,19.93354501627378,EX_lys_L_medium,lys_L_medium
EX_met_L_medium,4.766138667448329,EX_met_L_medium,met_L_medium
EX_metala_medium,3.442308648683262,EX_metala_medium,metala_medium
EX_mg2_medium,0.4776498954975996,EX_mg2_medium,mg2_medium
EX_mn2_medium,0.4776498954975996,EX_mn2_medium,mn2_medium
EX_nac_medium,0.9552997909952765,EX_nac_medium,nac_medium
EX_no2_medium,60.33367990339203,EX_no2_medium,no2_medium
EX_o2_medium,138.0198759109952,EX_o2_medium,o2_medium
EX_orn_medium,5.865572622514033,EX_orn_medium,orn_medium
EX_phe_L_medium,51.60515628932514,EX_phe_L_medium,phe_L_medium
EX_pi_medium,35.18903200630979,EX_pi_medium,pi_medium
EX_pro_L_medium,4.88383226165168,EX_pro_L_medium,pro_L_medium
EX_ptrc_medium,0.24080086324185457,EX_ptrc_medium,ptrc_medium
EX_pullulan1200_medium,0.23147247382772637,EX_pullulan1200_medium,pullulan1200_medium
EX_pydx_medium,0.4776498954975996,EX_pydx_medium,pydx_medium
EX_ribflv_medium,497.7909568074753,EX_ribflv_medium,ribflv_medium
EX_ser_L_medium,47.58010873342694,EX_ser_L_medium,ser_L_medium
EX_so4_medium,0.4776498954975996,EX_so4_medium,so4_medium
EX_spmd_medium,0.24080086324185457,EX_spmd_medium,spmd_medium
EX_thm_medium,0.24080086324185457,EX_thm_medium,thm_medium
EX_thr_L_medium,70.86571500030661,EX_thr_L_medium,thr_L_medium
EX_thymd_medium,0.3562713629610773,EX_thymd_medium,thymd_medium
EX_trp_L_medium,3.3256340991547644,EX_trp_L_medium,trp_L_medium
EX_ttdca_medium,0.8822015328008698,EX_ttdca_medium,ttdca_medium
EX_tyr_L_medium,3.3677000207029906,EX_tyr_L_medium,tyr_L_medium
EX_ura_medium,24.913878800361914,EX_ura_medium,ura_medium
EX_val_L_medium,22.771347871795623,EX_val_L_medium,val_L_medium
EX_xylan_medium,0.013474730178220174,EX_xylan_medium,xylan_medium
EX_zn2_medium,0.4776498954975996,EX_zn2_medium,zn2_medium
