,metabolite_id,metabolite_name_x,cross_feeeding_health,produced_by_health,consumed_by_health,produced_count_health,consumed_count_health,MES_health,metabolite_name_y,cross_feeeding_CRC,produced_by_CRC,consumed_by_CRC,produced_count_CRC,consumed_count_CRC,MES_CRC,MES_diff
255,arab_L_medium,L-arabinose,TRUE,"['Dorea', 'Eubacterium', 'Bacteroides', 'Subdoligranulum', 'Bifidobacterium', 'Prevotella', 'Parabacteroides', 'Barnesiella']","['Dorea', 'Eubacterium', 'Escherichia', 'Clostridium', 'Bacteroides', 'Subdoligranulum', 'Megamonas', 'Ruminococcus', 'Roseburia', 'Bifidobacterium', 'Prevotella', 'Klebsiella', 'Barnesiella']",8,13,9.904761905,L-arabinose,TRUE,"['Paraprevotella', 'Barnesiella', 'Subdoligranulum', 'Bifidobacterium', 'Bacteroides', 'Odoribacter', 'Prevotella', 'Dorea', 'Eubacterium', 'Parabacteroides']","['Paraprevotella', 'Barnesiella', 'Subdoligranulum', 'Megamonas', 'Bifidobacterium', 'Bacteroides', 'Odoribacter', 'Klebsiella', 'Prevotella', 'Escherichia', 'Dorea', 'Coprococcus', 'Ruminococcus', 'Clostridium', 'Eubacterium', 'Roseburia']",10,16,12.30769231,-2.402930403
365,trp_L_medium,L-tryptophan,TRUE,"['Escherichia', 'Collinsella', 'Megamonas', 'Haemophilus', 'Klebsiella']","['Dorea', 'Escherichia', 'Collinsella', 'Fusobacterium', 'Subdoligranulum', 'Megamonas', 'Haemophilus', 'Alistipes', 'Roseburia', 'Faecalibacterium', 'Bifidobacterium', 'Klebsiella', 'Barnesiella', 'Dialister']",5,14,7.368421053,L-tryptophan,TRUE,"['Megamonas', 'Odoribacter', 'Klebsiella', 'Haemophilus', 'Escherichia', 'Collinsella', 'Coprococcus']","['Faecalibacterium', 'Barnesiella', 'Subdoligranulum', 'Megamonas', 'Bifidobacterium', 'Odoribacter', 'Dialister', 'Klebsiella', 'Haemophilus', 'Escherichia', 'Collinsella', 'Dorea', 'Coprococcus', 'Fusobacterium', 'Roseburia', 'Alistipes']",7,16,9.739130435,-2.370709382
6,asn_L_medium,L-asparagine,TRUE,"['Dorea', 'Eubacterium', 'Escherichia', 'Clostridium', 'Akkermansia', 'Collinsella', 'Phascolarctobacterium', 'Lachnospiraceae', 'Bacteroides', 'Fusobacterium', 'Subdoligranulum', 'Megamonas', 'Sutterella', 'Haemophilus', 'Ruminococcus', 'Roseburia', 'Faecalibacterium', 'Bifidobacterium', 'Prevotella', 'Klebsiella', 'Parabacteroides', 'Barnesiella', 'Veillonella', 'Dialister', 'Streptococcus']","['Dorea', 'Eubacterium', 'Escherichia', 'Clostridium', 'Akkermansia', 'Collinsella', 'Phascolarctobacterium', 'Lachnospiraceae', 'Bacteroides', 'Fusobacterium', 'Subdoligranulum', 'Megamonas', 'Sutterella', 'Haemophilus', 'Ruminococcus', 'Alistipes', 'Roseburia', 'Faecalibacterium', 'Bifidobacterium', 'Prevotella', 'Klebsiella', 'Parabacteroides', 'Barnesiella', 'Veillonella', 'Dialister', 'Streptococcus']",25,26,25.49019608,L-asparagine,TRUE,"['Faecalibacterium', 'Paraprevotella', 'Barnesiella', 'Subdoligranulum', 'Megamonas', 'Bifidobacterium', 'Sutterella', 'Bacteroides', 'Odoribacter', 'Dialister', 'Veillonella', 'Klebsiella', 'Haemophilus', 'Prevotella', 'Escherichia', 'Collinsella', 'Dorea', 'Coprococcus', 'Ruminococcus', 'Clostridium', 'Fusobacterium', 'Eubacterium', 'Parabacteroides', 'Streptococcus', 'Roseburia', 'Lachnospiraceae', 'Phascolarctobacterium']","['Faecalibacterium', 'Paraprevotella', 'Barnesiella', 'Subdoligranulum', 'Megamonas', 'Bifidobacterium', 'Sutterella', 'Bacteroides', 'Odoribacter', 'Dialister', 'Veillonella', 'Klebsiella', 'Haemophilus', 'Prevotella', 'Escherichia', 'Collinsella', 'Dorea', 'Coprococcus', 'Ruminococcus', 'Clostridium', 'Fusobacterium', 'Eubacterium', 'Parabacteroides', 'Streptococcus', 'Roseburia', 'Lachnospiraceae', 'Alistipes', 'Phascolarctobacterium']",27,28,27.49090909,-2.000713012
9,thr_L_medium,L-threonine,TRUE,"['Dorea', 'Eubacterium', 'Escherichia', 'Clostridium', 'Akkermansia', 'Collinsella', 'Phascolarctobacterium', 'Lachnospiraceae', 'Bacteroides', 'Fusobacterium', 'Subdoligranulum', 'Megamonas', 'Sutterella', 'Haemophilus', 'Ruminococcus', 'Alistipes', 'Roseburia', 'Faecalibacterium', 'Bifidobacterium', 'Klebsiella', 'Parabacteroides', 'Barnesiella', 'Veillonella', 'Dialister', 'Streptococcus']","['Dorea', 'Eubacterium', 'Escherichia', 'Clostridium', 'Akkermansia', 'Collinsella', 'Phascolarctobacterium', 'Lachnospiraceae', 'Bacteroides', 'Fusobacterium', 'Subdoligranulum', 'Megamonas', 'Sutterella', 'Haemophilus', 'Ruminococcus', 'Alistipes', 'Roseburia', 'Faecalibacterium', 'Bifidobacterium', 'Klebsiella', 'Parabacteroides', 'Barnesiella', 'Veillonella', 'Dialister', 'Streptococcus']",25,25,25,L-threonine,TRUE,"['Faecalibacterium', 'Paraprevotella', 'Barnesiella', 'Subdoligranulum', 'Megamonas', 'Bifidobacterium', 'Sutterella', 'Bacteroides', 'Odoribacter', 'Dialister', 'Veillonella', 'Klebsiella', 'Haemophilus', 'Escherichia', 'Collinsella', 'Dorea', 'Coprococcus', 'Ruminococcus', 'Clostridium', 'Fusobacterium', 'Eubacterium', 'Parabacteroides', 'Streptococcus', 'Roseburia', 'Lachnospiraceae', 'Alistipes', 'Phascolarctobacterium']","['Faecalibacterium', 'Paraprevotella', 'Barnesiella', 'Subdoligranulum', 'Megamonas', 'Bifidobacterium', 'Sutterella', 'Bacteroides', 'Odoribacter', 'Dialister', 'Veillonella', 'Klebsiella', 'Haemophilus', 'Escherichia', 'Collinsella', 'Dorea', 'Coprococcus', 'Ruminococcus', 'Clostridium', 'Fusobacterium', 'Eubacterium', 'Parabacteroides', 'Streptococcus', 'Roseburia', 'Lachnospiraceae', 'Alistipes', 'Phascolarctobacterium']",27,27,27,-2
455,urea_medium,Urea,TRUE,"['Escherichia', 'Megamonas', 'Alistipes', 'Klebsiella']","['Klebsiella', 'Streptococcus']",4,2,2.666666667,Urea,TRUE,"['Megamonas', 'Odoribacter', 'Klebsiella', 'Escherichia', 'Alistipes']","['Paraprevotella', 'Odoribacter', 'Klebsiella', 'Streptococcus']",5,4,4.444444444,-1.777777778
421,but_medium,butyrate,TRUE,"['Eubacterium', 'Acidaminococcus', 'Fusobacterium', 'Subdoligranulum', 'Roseburia', 'Faecalibacterium']","['Escherichia', 'Fusobacterium', 'Subdoligranulum', 'Ruminococcus']",6,4,4.8,butyrate,TRUE,"['Faecalibacterium', 'Subdoligranulum', 'Odoribacter', 'Coprococcus', 'Fusobacterium', 'Eubacterium', 'Roseburia']","['Subdoligranulum', 'Odoribacter', 'Escherichia', 'Coprococcus', 'Ruminococcus', 'Fusobacterium']",7,6,6.461538462,-1.661538462
178,glyc_medium,Glycerol,TRUE,"['Dorea', 'Escherichia', 'Clostridium', 'Akkermansia', 'Collinsella', 'Acidaminococcus', 'Fusobacterium', 'Haemophilus', 'Alistipes', 'Faecalibacterium', 'Bifidobacterium', 'Klebsiella', 'Parabacteroides', 'Barnesiella', 'Streptococcus']","['Dorea', 'Escherichia', 'Clostridium', 'Collinsella', 'Acidaminococcus', 'Fusobacterium', 'Haemophilus', 'Faecalibacterium', 'Bifidobacterium', 'Klebsiella', 'Parabacteroides', 'Streptococcus']",15,12,13.33333333,Glycerol,TRUE,"['Faecalibacterium', 'Paraprevotella', 'Barnesiella', 'Bifidobacterium', 'Odoribacter', 'Klebsiella', 'Haemophilus', 'Escherichia', 'Collinsella', 'Dorea', 'Coprococcus', 'Clostridium', 'Fusobacterium', 'Parabacteroides', 'Streptococcus', 'Alistipes']","['Faecalibacterium', 'Paraprevotella', 'Bifidobacterium', 'Odoribacter', 'Klebsiella', 'Haemophilus', 'Escherichia', 'Collinsella', 'Dorea', 'Coprococcus', 'Clostridium', 'Fusobacterium', 'Parabacteroides', 'Streptococcus']",16,14,14.93333333,-1.6
413,o2_medium,O2,TRUE,"['Alistipes', 'Bifidobacterium', 'Parabacteroides']","['Dorea', 'Eubacterium', 'Escherichia', 'Clostridium', 'Akkermansia', 'Collinsella', 'Phascolarctobacterium', 'Lachnospiraceae', 'Acidaminococcus', 'Bacteroides', 'Fusobacterium', 'Megamonas', 'Sutterella', 'Haemophilus', 'Ruminococcus', 'Alistipes', 'Roseburia', 'Faecalibacterium', 'Bifidobacterium', 'Prevotella', 'Klebsiella', 'Parabacteroides', 'Barnesiella', 'Veillonella', 'Dialister', 'Streptococcus']",3,26,5.379310345,O2,TRUE,"['Bifidobacterium', 'Odoribacter', 'Parabacteroides', 'Alistipes']","['Faecalibacterium', 'Paraprevotella', 'Barnesiella', 'Megamonas', 'Bifidobacterium', 'Sutterella', 'Bacteroides', 'Odoribacter', 'Dialister', 'Veillonella', 'Klebsiella', 'Haemophilus', 'Prevotella', 'Escherichia', 'Collinsella', 'Dorea', 'Coprococcus', 'Ruminococcus', 'Clostridium', 'Fusobacterium', 'Eubacterium', 'Parabacteroides', 'Streptococcus', 'Roseburia', 'Lachnospiraceae', 'Alistipes', 'Phascolarctobacterium']",4,27,6.967741935,-1.588431591
199,adn_medium,Adenosine,TRUE,"['Dorea', 'Escherichia', 'Clostridium', 'Akkermansia', 'Bacteroides', 'Fusobacterium', 'Megamonas', 'Haemophilus', 'Alistipes', 'Prevotella', 'Klebsiella', 'Parabacteroides', 'Barnesiella', 'Veillonella']","['Dorea', 'Escherichia', 'Clostridium', 'Bacteroides', 'Fusobacterium', 'Megamonas', 'Haemophilus', 'Alistipes', 'Prevotella', 'Klebsiella', 'Parabacteroides', 'Barnesiella']",14,12,12.92307692,Adenosine,TRUE,"['Paraprevotella', 'Barnesiella', 'Megamonas', 'Bacteroides', 'Odoribacter', 'Veillonella', 'Klebsiella', 'Haemophilus', 'Prevotella', 'Escherichia', 'Dorea', 'Clostridium', 'Fusobacterium', 'Parabacteroides', 'Alistipes']","['Paraprevotella', 'Barnesiella', 'Megamonas', 'Bacteroides', 'Odoribacter', 'Klebsiella', 'Haemophilus', 'Prevotella', 'Escherichia', 'Dorea', 'Clostridium', 'Fusobacterium', 'Parabacteroides', 'Alistipes']",15,14,14.48275862,-1.559681698
427,gthrd_medium,Reduced glutathione,TRUE,"['Eubacterium', 'Lachnospiraceae', 'Ruminococcus', 'Faecalibacterium']","['Eubacterium', 'Lachnospiraceae', 'Ruminococcus', 'Faecalibacterium']",4,4,4,Reduced glutathione,TRUE,"['Faecalibacterium', 'Coprococcus', 'Ruminococcus', 'Eubacterium', 'Lachnospiraceae']","['Faecalibacterium', 'Paraprevotella', 'Coprococcus', 'Ruminococcus', 'Eubacterium', 'Lachnospiraceae']",5,6,5.454545455,-1.454545455
