,flux,reaction,metabolite
EX_Lcystin_medium,1.3566819899775968e-07,EX_Lcystin_medium,Lcystin_medium
EX__12ppd_S_medium,1e-06,EX__12ppd_S_medium,_12ppd_S_medium
EX__26dap_M_medium,1.9107462766384125e-07,EX__26dap_M_medium,_26dap_M_medium
EX__2obut_medium,1e-06,EX__2obut_medium,_2obut_medium
EX__3dhcdchol_medium,1e-06,EX__3dhcdchol_medium,_3dhcdchol_medium
EX__3dhchol_medium,1e-06,EX__3dhchol_medium,_3dhchol_medium
EX__4hpro_LT_medium,1e-06,EX__4hpro_LT_medium,_4hpro_LT_medium
EX__7dhcdchol_medium,1e-06,EX__7dhcdchol_medium,_7dhcdchol_medium
EX__7ocholate_medium,1e-06,EX__7ocholate_medium,_7ocholate_medium
EX_acald_medium,1e-06,EX_acald_medium,acald_medium
EX_acnam_medium,1e-06,EX_acnam_medium,acnam_medium
EX_ade_medium,9.121571720610726e-07,EX_ade_medium,ade_medium
EX_adn_medium,1e-06,EX_adn_medium,adn_medium
EX_ala_L_medium,3.928259780792887e-07,EX_ala_L_medium,ala_L_medium
EX_alahis_medium,1.453716467281558e-07,EX_alahis_medium,alahis_medium
EX_arg_L_medium,1.81865907124953e-05,EX_arg_L_medium,arg_L_medium
EX_asn_L_medium,1e-06,EX_asn_L_medium,asn_L_medium
EX_asp_L_medium,8.952599567956782e-06,EX_asp_L_medium,asp_L_medium
EX_cgly_medium,5.817267841386133e-07,EX_cgly_medium,cgly_medium
EX_chor_medium,1e-06,EX_chor_medium,chor_medium
EX_cytd_medium,1e-06,EX_cytd_medium,cytd_medium
EX_dcyt_medium,2.447888217026429e-07,EX_dcyt_medium,dcyt_medium
EX_ddca_medium,9.553731383192062e-07,EX_ddca_medium,ddca_medium
EX_etoh_medium,4.407279930838969e-05,EX_etoh_medium,etoh_medium
EX_fe2_medium,1.0033569165588446e-07,EX_fe2_medium,fe2_medium
EX_fol_medium,1.1930205238609998e-07,EX_fol_medium,fol_medium
EX_fru_medium,2.2151661281271866e-05,EX_fru_medium,fru_medium
EX_fuc_L_medium,1e-06,EX_fuc_L_medium,fuc_L_medium
EX_fum_medium,1e-06,EX_fum_medium,fum_medium
EX_galur_medium,1e-06,EX_galur_medium,galur_medium
EX_glc_D_medium,1.7646068928065428e-05,EX_glc_D_medium,glc_D_medium
EX_glcur_medium,1e-06,EX_glcur_medium,glcur_medium
EX_glu_L_medium,6.440855619781507e-05,EX_glu_L_medium,glu_L_medium
EX_glyasn_medium,1e-06,EX_glyasn_medium,glyasn_medium
EX_glyc3p_medium,6.035599873480986e-07,EX_glyc3p_medium,glyc3p_medium
EX_glyclt_medium,1e-06,EX_glyclt_medium,glyclt_medium
EX_glyleu_medium,1e-06,EX_glyleu_medium,glyleu_medium
EX_gsn_medium,1e-06,EX_gsn_medium,gsn_medium
EX_h2o_medium,4.018825098122812e-05,EX_h2o_medium,h2o_medium
EX_h2s_medium,9.999999999999997e-07,EX_h2s_medium,h2s_medium
EX_his_L_medium,1.6628905556124168e-07,EX_his_L_medium,his_L_medium
EX_hxan_medium,5.724920218959482e-07,EX_hxan_medium,hxan_medium
EX_inulin_medium,1e-06,EX_inulin_medium,inulin_medium
EX_lac_L_medium,1e-06,EX_lac_L_medium,lac_L_medium
EX_lctnb_medium,1.8261427334586855e-07,EX_lctnb_medium,lctnb_medium
EX_leu_L_medium,3.912154753980617e-06,EX_leu_L_medium,leu_L_medium
EX_lys_L_medium,1.6069576424125805e-07,EX_lys_L_medium,lys_L_medium
EX_malthx_medium,1e-06,EX_malthx_medium,malthx_medium
EX_met_L_medium,7.373921939495201e-07,EX_met_L_medium,met_L_medium
EX_metala_medium,2.466457257953386e-07,EX_metala_medium,metala_medium
EX_no2_medium,1e-06,EX_no2_medium,no2_medium
EX_o2_medium,1e-06,EX_o2_medium,o2_medium
EX_ocdca_medium,6.668160675699173e-07,EX_ocdca_medium,ocdca_medium
EX_orn_medium,4.083646239586239e-07,EX_orn_medium,orn_medium
EX_pect_medium,1.3441114616021768e-07,EX_pect_medium,pect_medium
EX_phe_L_medium,6.409137461552717e-07,EX_phe_L_medium,phe_L_medium
EX_pi_medium,9.425746086583555e-06,EX_pi_medium,pi_medium
EX_rbflvrd_medium,1.3566819899775968e-07,EX_rbflvrd_medium,rbflvrd_medium
EX_ser_L_medium,6.0923548618169505e-06,EX_ser_L_medium,ser_L_medium
EX_sucr_medium,1.1234553986595917e-05,EX_sucr_medium,sucr_medium
EX_thr_L_medium,2.2873283014534964e-05,EX_thr_L_medium,thr_L_medium
EX_ttdca_medium,1.4367879521608427e-07,EX_ttdca_medium,ttdca_medium
EX_tyr_L_medium,4.5213901483129565e-07,EX_tyr_L_medium,tyr_L_medium
EX_ura_medium,5.888178663549972e-07,EX_ura_medium,ura_medium
EX_uri_medium,8.930103914264147e-07,EX_uri_medium,uri_medium
EX_xan_medium,3.4661900462059124e-07,EX_xan_medium,xan_medium
EX_xyl_D_medium,1e-06,EX_xyl_D_medium,xyl_D_medium
