,max,min,median,IQR
ac,0.004265265547461,0.0004100218402188,0.0014243527346925501,0.0012487734111144252
ala,0.0006613928028969,1.2924699407925717e-05,8.249202355398353e-05,7.699048394879765e-05
arab,1.41185545485663e-05,-0.0,8.82412813376251e-07,8.874094042432211e-06
but,0.0004969631765414,2.760244963301576e-05,0.00012760619120875,8.7544717607925e-05
for,0.0020131127434954,-0.0,0.00053641164038035,0.0007583449499400498
gal,0.0002474361981845,-0.0,3.2941376044587683e-06,2.683330660825273e-05
glyc,0.0001595761747544,2.061414229109128e-07,4.165282078537373e-05,0.0001231598340203027
gly,0.0001699282610838,-0.0,1.884105534107014e-05,5.180452362154805e-05
indole,0.0002934550698771,-0.0,7.527377295642536e-05,9.854278432985618e-05
meoh,0.000195,9.583602269401702e-06,0.000114317894221,0.00014555596263939578
nh4,0.0028109088909191,0.0002194558331735,0.00146683579792755,0.0013597561207511
phe,0.0003757507040078,-0.0,0.0,0.00010576412386532194
ppa,0.0040540829166486,0.0002014073928627,0.0014701037652902,0.001207503203371325
ptrc,0.0002567410627281,8.792942874352569e-06,3.777180853979061e-05,5.853872221550275e-05
rbflvrd,0.0002867513958554,-0.0,3.960452168159094e-05,0.00016606189725497503
succ,0.0012751571865506,-0.0,0.00053673371536995,0.0005810885995012
4abut,0.0002281581641581,-0.0,6.107143047153076e-06,4.078910577835791e-05
