,shannon_index,richness
10021,1.7044352853315885,11.0
10067,1.9236474594154558,13.0
10073,2.1460798226375966,14.0
10074,2.314166110593401,16.0
10091,2.0295237961594155,12.0
10097,1.4652820115556402,13.0
10119,1.8455960252110526,12.0
10124,2.323303921039865,17.0
10126,1.7623424954231213,15.0
10147,1.9280168395195536,12.0
10185,1.9042976372602505,14.0
10199,1.9107319582834323,12.0
10236,1.2204179908808135,7.0
10248,2.365484056048603,20.0
10249,1.9830834693479233,12.0
10265,1.8000590582673552,8.0
10267,1.7803935384308758,13.0
10277,2.40491862916018,15.0
10306,2.1973799995840535,19.0
10308,2.1826742331194158,12.0
10309,2.028573946256364,13.0
10323,1.5706464723710236,8.0
10324,2.6338870730350847,24.0
10330,1.5472270943043882,8.0
10333,2.400691163129112,19.0
10371,2.185361903893704,12.0
10377,2.124257292221656,17.0
10389,2.253128594735271,15.0
10459,2.278854072569702,16.0
10462,1.0363311260218775,6.0
10464,1.2924239752224915,6.0
10469,2.3383221938222425,17.0
10480,1.6523818492602913,11.0
10503,2.1916647898740798,18.0
10505,2.0965402291386788,18.0
10523,2.043706771576341,14.0
10525,1.680653281379419,12.0
10542,1.915239891118737,14.0
10550,1.7656058769072576,11.0
10584,2.136352703983593,15.0
10598,1.1146164567421688,8.0
10609,1.5937220636558513,10.0
10615,2.167463356752563,13.0
10628,2.0519142982106513,13.0
10644,2.2798407380673367,13.0
10667,2.033291399869018,12.0
10668,1.8571136166687578,14.0
10670,1.8461525477086367,19.0
10671,1.4623379442510607,11.0
10674,1.9504237928044847,13.0
10675,2.4893516357733056,36.0
10694,1.6237469134216889,7.0
10700,2.409907294423403,22.0
10709,1.595526055660868,10.0
10713,2.0339809931061295,15.0
10717,1.8094694023556315,12.0
10718,1.0580091842779433,6.0
10720,1.2351033175068018,9.0
10723,2.267938968823066,13.0
10731,1.8659875854616734,9.0
10745,1.7802567650731869,10.0
10762,2.2762863375074067,13.0
10767,2.06993407378251,11.0
10774,1.926199424132126,13.0
10775,2.3624093611363914,18.0
10812,1.8408807471710396,11.0
10816,2.3879739583426867,17.0
10827,1.419404898122153,11.0
10829,2.328580206325235,14.0
10030,1.5710202572520868,10.0
10237,1.8888137811962438,10.0
10595,2.142631519454524,14.0
10603,0.937958342644232,5.0
10819,2.2694910223875304,15.0
10887,2.2291534064257434,17.0
10938,1.697681467657523,12.0
11010,1.791935500200028,14.0
11030,1.3986993093266806,14.0
11036,1.9116856596342346,14.0
11045,1.6796647783893834,12.0
11054,2.1915121845921943,15.0
11081,2.0328019263988826,10.0
11085,1.614743073870093,11.0
11097,1.7654395749146814,9.0
11103,1.4919424724132375,10.0
11128,1.9071766753491521,12.0
11132,0.8742018857960254,7.0
11141,1.4600676837157325,9.0
11162,1.4513304927883028,8.0
11238,2.138785078970004,14.0
11428,2.1120964262852513,13.0
11472,1.5712870127104501,8.0
11478,2.191797123575029,14.0
11490,1.999328134194075,13.0
11817,1.8399185155751803,11.0
11823,2.3168366127863504,16.0
11835,1.684363857927898,9.0
11838,2.023579656742791,16.0
11881,2.3862115280630993,15.0
11888,2.572448919701548,19.0
11900,1.354542957330264,8.0
11918,1.9673863338105673,12.0
11951,1.8778545921436283,11.0
11956,2.2132867087608123,13.0
11973,1.8346302863687576,14.0
11974,1.7079479602840264,21.0
12002,2.2583974493754773,14.0
12020,2.2317185354779037,14.0
12022,1.608839657622497,12.0
12024,1.7061220677836508,11.0
12025,1.9655387479130761,11.0
