,metabolite,reaction,flux_healthy,flux_CRC,flux_diff,perc_flux_diff
469,ppa_medium,EX_ppa_medium,-0.0012544371785028,-0.0011599948030382,-9.444237546459987e-05,0.07528665212021143
403,for_medium,EX_for_medium,-0.0015296697481943,-0.0014763672967352,-5.33024514591e-05,0.034845725047528024
378,co2_medium,EX_co2_medium,-0.0028295773888428,-0.0027794278021361,-5.014958670670035e-05,0.01772334868961114
476,rbflvrd_medium,EX_rbflvrd_medium,-0.0002840393184017,-0.0002469315369509,-3.710778145079999e-05,0.13064311539545612
371,but_medium,EX_but_medium,-0.0003797290674135,-0.0003514088925097,-2.832017490380002e-05,0.07457995011206558
417,glyc_medium,EX_glyc_medium,-6.135490525701881e-05,-4.902501263142718e-05,-1.232989262559163e-05,0.2009601770867559
349,acgal_medium,EX_acgal_medium,-1.1119938588593396e-05,-8e-06,-3.119938588593396e-06,0.2805715664467576
331,Tn_antigen_medium,EX_Tn_antigen_medium,-8.609679143259315e-06,-6.7902623876078334e-06,-1.8194167556514816e-06,0.21132224852722165
499,val_L_medium,EX_val_L_medium,-6.086442770065529e-06,-5.194455010255707e-06,-8.919877598098222e-07,0.14655321564786827
290,MGlcn78_rl_medium,EX_MGlcn78_rl_medium,-5.656058391093738e-07,0.0,-5.656058391093738e-07,1.0
377,chol_medium,EX_chol_medium,-2.584791275596073e-07,-1.7470271090809177e-07,-8.37764166515155e-08,0.324112888504686
360,arab_L_medium,EX_arab_L_medium,-1.3284720818083057e-05,-1.3224358014200004e-05,-6.036280388305233e-08,0.004543776622003751
312,MGlcn91_rl_medium,EX_MGlcn91_rl_medium,0.0,0.0,0.0,
328,MGlcn99_rl_medium,EX_MGlcn99_rl_medium,0.0,0.0,0.0,
327,MGlcn99_medium,EX_MGlcn99_medium,0.0,0.0,0.0,
326,MGlcn98_rl_medium,EX_MGlcn98_rl_medium,0.0,0.0,0.0,
325,MGlcn98_medium,EX_MGlcn98_medium,0.0,0.0,0.0,
308,MGlcn89_rl_medium,EX_MGlcn89_rl_medium,0.0,0.0,0.0,
324,MGlcn97_rl_medium,EX_MGlcn97_rl_medium,0.0,0.0,0.0,
323,MGlcn97_medium,EX_MGlcn97_medium,0.0,0.0,0.0,
322,MGlcn96_rl_medium,EX_MGlcn96_rl_medium,0.0,0.0,0.0,
321,MGlcn96_medium,EX_MGlcn96_medium,0.0,0.0,0.0,
309,MGlcn90_medium,EX_MGlcn90_medium,0.0,0.0,0.0,
311,MGlcn91_medium,EX_MGlcn91_medium,0.0,0.0,0.0,
319,MGlcn95_medium,EX_MGlcn95_medium,0.0,0.0,0.0,
318,MGlcn94_rl_medium,EX_MGlcn94_rl_medium,0.0,0.0,0.0,
329,Ser_Thr_medium,EX_Ser_Thr_medium,0.0,0.0,0.0,
317,MGlcn94_medium,EX_MGlcn94_medium,0.0,0.0,0.0,
316,MGlcn93_rl_medium,EX_MGlcn93_rl_medium,0.0,0.0,0.0,
310,MGlcn90_rl_medium,EX_MGlcn90_rl_medium,0.0,0.0,0.0,
315,MGlcn93_medium,EX_MGlcn93_medium,0.0,0.0,0.0,
314,MGlcn92_rl_medium,EX_MGlcn92_rl_medium,0.0,0.0,0.0,
313,MGlcn92_medium,EX_MGlcn92_medium,0.0,0.0,0.0,
320,MGlcn95_rl_medium,EX_MGlcn95_rl_medium,0.0,0.0,0.0,
0,Cit_Mg_medium,EX_Cit_Mg_medium,0.0,0.0,0.0,
334,_15dap_medium,EX__15dap_medium,0.0,0.0,0.0,
332,Tyr_ggn_medium,EX_Tyr_ggn_medium,0.0,0.0,0.0,
362,arabttr_medium,EX_arabttr_medium,0.0,0.0,0.0,
361,arabinogal_medium,EX_arabinogal_medium,0.0,0.0,0.0,
359,amylopect900_medium,EX_amylopect900_medium,0.0,0.0,0.0,
358,alltn_medium,EX_alltn_medium,0.0,0.0,0.0,
356,ala_D_medium,EX_ala_D_medium,0.0,0.0,0.0,
355,agam1b6agal_medium,EX_agam1b6agal_medium,0.0,0.0,0.0,
354,agam1b3agal_medium,EX_agam1b3agal_medium,0.0,0.0,0.0,
353,agal1b6agal_medium,EX_agal1b6agal_medium,0.0,0.0,0.0,
352,agal1b3agal_medium,EX_agal1b3agal_medium,0.0,0.0,0.0,
351,adocbl_medium,EX_adocbl_medium,0.0,0.0,0.0,
350,acnam2a6agal_medium,EX_acnam2a6agal_medium,0.0,0.0,0.0,
330,T_antigen_medium,EX_T_antigen_medium,-1e-06,-1e-06,0.0,-0.0
346,_5mthf_medium,EX__5mthf_medium,0.0,0.0,0.0,
344,_4hoxpacd_medium,EX__4hoxpacd_medium,0.0,0.0,0.0,
343,_4hbz_medium,EX__4hbz_medium,0.0,0.0,0.0,
342,_4abz_medium,EX__4abz_medium,0.0,0.0,0.0,
340,_3hpppn_medium,EX__3hpppn_medium,0.0,0.0,0.0,
339,_3hphac_medium,EX__3hphac_medium,0.0,0.0,0.0,
338,_34dhphe_medium,EX__34dhphe_medium,0.0,0.0,0.0,
337,_34dhpha_medium,EX__34dhpha_medium,0.0,0.0,0.0,
336,_2hyoxplac_medium,EX__2hyoxplac_medium,0.0,0.0,0.0,
335,_2dmmq8_medium,EX__2dmmq8_medium,0.0,0.0,0.0,
307,MGlcn89_medium,EX_MGlcn89_medium,0.0,0.0,0.0,
