Genus,species,average_abundance
Slackia,Slackia exigua,0.0005383783783783785
Streptococcus,Streptococcus gordonii,0.012312342342342342
Holdemania,Holdemania sp AP2,0.0026343243243243243
Blautia,Blautia hydrogenotrophica,0.009466396396396397
Eubacterium,Eubacterium hallii,0.20479135135135135
Prevotella,Prevotella salivae,0.00022504504504504503
Clostridium,Clostridium bifermentans,3.153153153153153e-05
Paraprevotella,Paraprevotella unclassified,0.2985728828828829
Corynebacterium,Corynebacterium durum,0.0002018018018018018
Gemella,Gemella morbillorum,0.010558198198198199
Selenomonas,Selenomonas noxia,0.00030153153153153153
Ruminococcus,Ruminococcus bromii,1.2904736936936938
Prevotella,Prevotella multiformis,0.0030600900900900905
Slackia,Slackia piriformis,0.0024932432432432433
Cellulophaga,Cellulophaga unclassified,0.0
Clostridium,Clostridium sordellii,0.0005366666666666666
Veillonella,Veillonella sp 6 1 27,0.010716846846846846
Clostridium,Clostridium clostridioforme,0.043810360360360366
Butyricicoccus,Butyricicoccus pullicaecorum,0.002004234234234234
Pseudoramibacter,Pseudoramibacter alactolyticus,0.0
Lactobacillus,Lactobacillus salivarius,0.08156315315315316
Alistipes,Alistipes putredinis,1.9853988288288296
Prevotella,Prevotella histicola,0.00286990990990991
Porphyromonas,Porphyromonas gingivalis,0.0006876576576576577
Propionibacterium,Propionibacterium acnes,1.7387387387387388e-05
Bifidobacterium,Bifidobacterium pseudolongum,0.0
Enterococcus,Enterococcus gallinarum,0.00015423423423423422
Leuconostoc,Leuconostoc lactis,0.014466306306306307
Coprobacter,Coprobacter fastidiosus,0.04922018018018017
Haemophilus,Haemophilus haemolyticus,0.0012855855855855856
Collinsella,Collinsella tanakaei,0.02482684684684685
Eubacterium,Eubacterium siraeum,0.7169554054054053
Fretibacterium,Fretibacterium fastidiosum,0.00048
Veillonella,Veillonella ratti,0.008899009009009008
Blautia,Blautia producta,0.008733243243243243
Finegoldia,Finegoldia magna,0.001323243243243243
Oscillibacter,Oscillibacter unclassified,0.5879886486486489
Eubacterium,Eubacterium brachy,0.006068198198198199
Clostridium,Clostridium difficile,0.0006414414414414414
Clostridium,Clostridium innocuum,0.0016836036036036038
Prevotella,Prevotella buccae,0.00886117117117117
Escherichia,Escherichia unclassified,0.2427171171171171
Bacteroides,Bacteroides sp 3 1 40A,0.0
Actinomyces,Actinomyces naeslundii,0.00015216216216216215
Lactobacillus,Lactobacillus crispatus,0.00019963963963963964
Eubacterium,Eubacterium rectale,3.370044864864864
Clostridiales,Clostridiales bacterium BV3C26,0.0
Alistipes,Alistipes unclassified,0.06544810810810811
Leptotrichia,Leptotrichia hofstadii,0.0
Neisseria,Neisseria flavescens,0.002249189189189189
Selenomonas,Selenomonas sputigena,0.0007525225225225225
Neisseria,Neisseria subflava,0.00016315315315315317
